audio_path,reference,prediction,sample_wer,sample_cer,audio_cluster,text_cluster_stopwords,duration_seconds,dominant_error,num_substitutions,num_deletions,num_insertions
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_20718590.mp3,sistemele de pensii țin de competența statelor membre,sistemele depențe cine de competență a statelor membre,0.625,0.1509433962264151,2,2,4.542,substitution,5,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_36974537.mp3,nu te voi lasa sa m-il iei,nu te voi lăsați să îmi iliei,0.5714285714285714,0.3076923076923077,1,2,3.139,substitution,4,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_20392223.mp3,dar și asta pare acum prea puțin povestește ema,dar și asta pare acum prea puțin că o să te știu ema,0.5555555555555556,0.2127659574468085,0,2,4.59,insertion,1,0,4
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_20349611.mp3,noi trebuie să luptăm pentru locuri fruntașe în clasament,noi trebuie să îl dăm pentru locul frântaștent clasament,0.5555555555555556,0.19298245614035087,1,3,3.87,substitution,5,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_39921894.mp3,plăcerea ceamai bună e aceea pe care o dai,plăcerea cea mai bună e aceea pe carodai,0.5555555555555556,0.09523809523809523,0,2,4.508,substitution,2,2,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_29082395.mp3,iubirea pe care eu si tu am impartasit-o in acea noapte,iube era pe care eu și tu a umpartășit-o în acea noapte,0.5454545454545454,0.16363636363636364,2,2,5.984,substitution,5,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24021373.mp3,a fost acuzat pentru săvârșirea infracțiunii de neglijență în serviciu,a fost acuzat pentru să vă ieși réinfecționii de necrigență în serviciu,0.5,0.21428571428571427,2,2,5.84,substitution,3,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26285645.mp3,simțeam că o iau razna așa că am mers la un psiholog,sințeam cu iau raznă așa că amez la un psiholog,0.5,0.17307692307692307,1,2,3.643,substitution,4,2,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26285867.mp3,ei numesc această atitudine soft power,e numesc această astitută din soft power,0.5,0.15789473684210525,1,4,3.643,substitution,2,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_27803059.mp3,cineva a întrebat ce ar însemna acest lucru,cineva întreba ce are înseamnă acest lucru,0.5,0.13953488372093023,1,2,3.768,substitution,3,1,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26261917.mp3,consiliul împărtășește acest punct de vedere,consilul împartăjești de acest punct de vedere,0.5,0.13636363636363635,0,2,3.248,substitution,2,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_23609793.mp3,țăranii își cultivă în fiecare an de-ale gurii,feranii își cultiv în fiecare an de aleguri,0.5,0.13043478260869565,0,2,3.39,substitution,4,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_30685643.mp3,vrem beneficiile și le vrem acum,vream beneficilă și te vrem acum,0.5,0.125,0,2,4.003,substitution,3,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_30399053.mp3,iti multumesc foarte mult,ți mulțumesc foarte mult,0.5,0.12,0,2,3.932,substitution,2,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25110749.mp3,ce am făcut in domeniul gazelor naturale lichefiate,ce am făcut în domeniul cazelor naturalele richefiate,0.5,0.09803921568627451,2,2,7.604,substitution,4,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_27113881.mp3,a ști carte nu înseamnă a ști înțelepciune,aștii carte nu înseamnă aștii înțelepciune,0.5,0.09523809523809523,0,2,4.884,substitution,2,2,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25287989.mp3,nu am putut-o sfătui să nu plătească banii,nu am putut o asfătui să nu plătească bani,0.5,0.07142857142857142,1,2,4.147,substitution,3,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26267021.mp3,pe de o parte suntem îngrijorați,pe deoparte suntem îngrijorați,0.5,0.0625,1,2,3.428,deletion,1,2,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25257758.mp3,trebuie să reducem supracapacitatea anumitor flote,trebuie să reducem supracapacitatea a numităr flăte,0.5,0.06,2,3,4.904,substitution,2,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_34056570.mp3,falsa modestie este un lucru mult mai nesuferit decât orice lăudăroșenie,falța modestii este un lucru mult mai nezferit decât orice lăudă roșenie,0.45454545454545453,0.06944444444444445,2,2,5.696,substitution,4,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25181357.mp3,polițiștii au luat probe aseară de la locul incidentului,polițiște au luat probe a să arăt la locul incidentului,0.4444444444444444,0.14285714285714285,0,2,4.436,substitution,3,0,1
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25887192.mp3,nu te faci vânător doar ca să admiri natura,nu te face vânătoar doar că se admiri natura,0.4444444444444444,0.09302325581395349,0,2,4.147,substitution,4,0,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26261870.mp3,primul aspect se referă la paradisurile fiscale,primul aspect se referă la care adici ușii fiscale,0.42857142857142855,0.19148936170212766,2,2,4.364,insertion,1,0,2
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_30399121.mp3,doresc să mă axez pe cele tari,doresc să mă acces pe celătari,0.42857142857142855,0.16666666666666666,0,2,5.228,substitution,2,1,0
data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26261269.mp3,pot să-i asigur că nu este adevărat,port să-i asigur că nu ești de adevărat,0.42857142857142855,0.14285714285714285,1,2,3.356,substitution,2,0,1
